 1  10.17.0.2 (10.17.0.2)  12.561 ms  5.834 ms  1.602 ms
 2  nyugwa-new-vl902.net.nyu.edu (128.122.1.36)  1.514 ms  4.745 ms  1.350 ms
 3  192.168.184.228 (192.168.184.228)  1.918 ms  2.414 ms  1.921 ms
 4  nyugwa-outside-ngfw-vl3080.net.nyu.edu (128.122.254.114)  1.865 ms  1.990 ms  1.953 ms
 5  192.168.184.221 (192.168.184.221)  2.177 ms  2.453 ms  2.459 ms
 6  nyugwa-vl1001.net.nyu.edu (192.76.177.202)  3.032 ms  2.219 ms  2.155 ms
 7  dmzgwa-ptp-nyugwa-vl3081.net.nyu.edu (128.122.254.109)  2.793 ms  5.185 ms  2.736 ms
 8  extgwd-ptp-dmzgwa.net.nyu.edu (128.122.254.76)  2.600 ms  2.501 ms  2.398 ms
 9  via-60-hudson-nyc002jp01.yipes.com (66.54.171.234)  2.696 ms  2.909 ms  6.439 ms
10  et-0-0-65.cr5-nyc2.ip4.gtt.net (89.149.187.94)  3.014 ms
    et-0-0-71.cr5-nyc2.ip4.gtt.net (89.149.185.14)  3.193 ms
    et-0-0-65.cr5-nyc2.ip4.gtt.net (89.149.187.94)  2.731 ms
11  nyk-b3-link.telia.net (213.248.88.205)  3.081 ms  3.950 ms  2.803 ms
12  nyk-bb3-link.telia.net (62.115.140.222)  3.083 ms
    nyk-bb4-link.telia.net (62.115.139.150)  3.695 ms  4.075 ms
13  nyk-b5-link.telia.net (80.91.254.14)  5.812 ms  4.309 ms
    nyk-b5-link.telia.net (62.115.115.1)  4.331 ms
14  automattic-ic-310141-nyk-b5.c.telia.net (62.115.51.22)  4.252 ms  4.710 ms  4.065 ms
15  * * *
16  * * *
17  * * *
18  * * *
19  * * *
20  * * *
21  * * *
22  * * *
23  * * *
24  * * *
25  * * *
26  * * *
27  * * *
28  * * *
29  * * *
30  * * *
31  * * *
32  * * *
33  * * *
34  * * *
35  * * *
36  * * *
37  * * *
38  * * *
39  * * *
40  * * *
41  * * *
42  * * *
43  * * *
44  * * *
45  * * *
46  * * *
47  * * *
48  * * *
49  * * *
50  * * *
51  * * *
52  * * *
53  * * *
54  * * *
55  * * *
56  * * *
57  * * *
58  * * *
59  * * *
60  * * *
61  * * *
62  * * *
63  * * *
64  * * *
